Train: 5968, Depart time: 05:00, Arrival time: 00:20, Total Time: 0 days 19 hours 20 mins

Train: 851, Depart time: 22:50, Arrival time: 22:40, Total Time: 0 days 23 hours 50 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 19:47, Intemediate Station: LS, Intermediate wait time: 13:32, Intermediate Departure time: 09:19, Second Train: 1153, Destination Arrival time: 09:52, Total Time: 0 days 7 hours 49 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 20:05, Intemediate Station: MMR, Intermediate wait time: 12:55, Intermediate Departure time: 09:00, Second Train: 1153, Destination Arrival time: 09:52, Total Time: 0 days 7 hours 12 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 20:33, Intemediate Station: NGN, Intermediate wait time: 11:44, Intermediate Departure time: 08:17, Second Train: 1153, Destination Arrival time: 09:52, Total Time: 0 days 6 hours 1 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 21:10, Intemediate Station: CSN, Intermediate wait time: 10:35, Intermediate Departure time: 07:45, Second Train: 1153, Destination Arrival time: 09:52, Total Time: 0 days 4 hours 52 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 15:49, Intemediate Station: DR, Intermediate wait time: 19:31, Intermediate Departure time: 11:20, Second Train: 1711, Destination Arrival time: 15:05, Total Time: 0 days 19 hours 1 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 16:42, Intemediate Station: KYN, Intermediate wait time: 19:18, Intermediate Departure time: 12:00, Second Train: 1711, Destination Arrival time: 15:05, Total Time: 0 days 18 hours 48 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 18:25, Intemediate Station: IGP, Intermediate wait time: 19:50, Intermediate Departure time: 14:15, Second Train: 1711, Destination Arrival time: 15:05, Total Time: 0 days 19 hours 20 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 20:05, Intemediate Station: MMR, Intermediate wait time: 13:8, Intermediate Departure time: 09:13, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 0 days 7 hours 43 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 16:19, Intemediate Station: TNA, Intermediate wait time: 0:41, Intermediate Departure time: 17:00, Second Train: 1713, Destination Arrival time: 20:40, Total Time: 0 days 5 hours 46 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 16:42, Intemediate Station: KYN, Intermediate wait time: 0:38, Intermediate Departure time: 17:20, Second Train: 1713, Destination Arrival time: 20:40, Total Time: 0 days 5 hours 43 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 18:25, Intemediate Station: IGP, Intermediate wait time: 1:40, Intermediate Departure time: 20:05, Second Train: 1713, Destination Arrival time: 20:40, Total Time: 0 days 6 hours 45 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 16:19, Intemediate Station: TNA, Intermediate wait time: 22:26, Intermediate Departure time: 14:45, Second Train: 2111, Destination Arrival time: 17:27, Total Time: 1 days 0 hours 18 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 16:42, Intemediate Station: KYN, Intermediate wait time: 22:25, Intermediate Departure time: 15:07, Second Train: 2111, Destination Arrival time: 17:27, Total Time: 1 days 0 hours 17 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 11:17, Intemediate Station: DR, Intermediate wait time: 10:28, Intermediate Departure time: 21:45, Second Train: 1081, Destination Arrival time: 00:52, Total Time: 1 days 0 hours 15 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 11:57, Intemediate Station: KYN, Intermediate wait time: 10:48, Intermediate Departure time: 22:45, Second Train: 1081, Destination Arrival time: 00:52, Total Time: 1 days 0 hours 35 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 14:00, Intemediate Station: IGP, Intermediate wait time: 10:10, Intermediate Departure time: 00:10, Second Train: 1081, Destination Arrival time: 00:52, Total Time: 0 days 0 hours -3 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 18:30, Intemediate Station: BSL, Intermediate wait time: 14:5, Intermediate Departure time: 08:35, Second Train: 1082, Destination Arrival time: 11:20, Total Time: 0 days 14 hours 20 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 16:18, Intemediate Station: MMR, Intermediate wait time: 16:42, Intermediate Departure time: 09:00, Second Train: 1153, Destination Arrival time: 09:52, Total Time: 0 days 15 hours 29 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 11:17, Intemediate Station: DR, Intermediate wait time: 4:35, Intermediate Departure time: 15:52, Second Train: 1154, Destination Arrival time: 19:11, Total Time: 0 days 12 hours 41 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 11:57, Intemediate Station: KYN, Intermediate wait time: 4:48, Intermediate Departure time: 16:45, Second Train: 1154, Destination Arrival time: 19:11, Total Time: 0 days 12 hours 54 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 14:00, Intemediate Station: IGP, Intermediate wait time: 4:30, Intermediate Departure time: 18:30, Second Train: 1154, Destination Arrival time: 19:11, Total Time: 0 days 12 hours 36 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 16:18, Intemediate Station: MMR, Intermediate wait time: 16:55, Intermediate Departure time: 09:13, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 0 days 16 hours 0 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 18:30, Intemediate Station: BSL, Intermediate wait time: 12:30, Intermediate Departure time: 07:00, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 0 days 11 hours 35 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 22:14, Intemediate Station: KNW, Intermediate wait time: 7:6, Intermediate Departure time: 05:20, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 0 days 6 hours 11 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 23:30, Intemediate Station: HD, Intermediate wait time: 3:40, Intermediate Departure time: 03:10, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 0 days 2 hours 45 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 01:50, Intemediate Station: ET, Intermediate wait time: 0:30, Intermediate Departure time: 02:20, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 0 days 23 hours 35 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 02:55, Intemediate Station: PPI, Intermediate wait time: 21:42, Intermediate Departure time: 00:37, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 1 days 20 hours 47 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 03:30, Intemediate Station: GAR, Intermediate wait time: 20:34, Intermediate Departure time: 00:04, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 1 days 19 hours 39 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 04:00, Intemediate Station: NU, Intermediate wait time: 19:30, Intermediate Departure time: 23:30, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 2 days 18 hours 35 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 05:00, Intemediate Station: MML, Intermediate wait time: 17:23, Intermediate Departure time: 22:23, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 2 days 16 hours 28 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 05:10, Intemediate Station: JBP, Intermediate wait time: 17:5, Intermediate Departure time: 22:15, Second Train: 1712, Destination Arrival time: 10:10, Total Time: 2 days 16 hours 10 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 11:57, Intemediate Station: KYN, Intermediate wait time: 5:23, Intermediate Departure time: 17:20, Second Train: 1713, Destination Arrival time: 20:40, Total Time: 0 days 14 hours 58 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 14:00, Intemediate Station: IGP, Intermediate wait time: 6:5, Intermediate Departure time: 20:05, Second Train: 1713, Destination Arrival time: 20:40, Total Time: 0 days 15 hours 40 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 18:30, Intemediate Station: BSL, Intermediate wait time: 3:20, Intermediate Departure time: 21:50, Second Train: 1714, Destination Arrival time: 00:55, Total Time: 0 days 17 hours 10 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 22:14, Intemediate Station: KNW, Intermediate wait time: 21:51, Intermediate Departure time: 20:05, Second Train: 1714, Destination Arrival time: 00:55, Total Time: 1 days 11 hours 41 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 23:30, Intemediate Station: HD, Intermediate wait time: 19:2, Intermediate Departure time: 18:32, Second Train: 1714, Destination Arrival time: 00:55, Total Time: 1 days 8 hours 52 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 01:50, Intemediate Station: ET, Intermediate wait time: 15:30, Intermediate Departure time: 17:20, Second Train: 1714, Destination Arrival time: 00:55, Total Time: 2 days 5 hours 20 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 11:57, Intemediate Station: KYN, Intermediate wait time: 3:10, Intermediate Departure time: 15:07, Second Train: 2111, Destination Arrival time: 17:27, Total Time: 0 days 9 hours 32 mins
Train: 1711, Depart time: 11:05, Intermediate Arrival time: 18:30, Intemediate Station: BSL, Intermediate wait time: 16:0, Intermediate Departure time: 10:30, Second Train: 2112, Destination Arrival time: 13:27, Total Time: 0 days 18 hours 22 mins

No train available

Train: 1401, Depart time: 16:50, Arrival time: 01:00, Total Time: 0 days 8 hours 10 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 01:35, Intemediate Station: PAU, Intermediate wait time: 23:12, Intermediate Departure time: 00:47, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 7 hours 47 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 04:00, Intemediate Station: HNL, Intermediate wait time: 18:35, Intermediate Departure time: 22:35, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 2 days 3 hours 10 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 04:50, Intemediate Station: WHM, Intermediate wait time: 17:3, Intermediate Departure time: 21:53, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 2 days 1 hours 38 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 07:40, Intemediate Station: AK, Intermediate wait time: 13:5, Intermediate Departure time: 20:45, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 21 hours 40 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 08:22, Intemediate Station: MZR, Intermediate wait time: 11:0, Intermediate Departure time: 19:22, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 19 hours 35 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 09:15, Intemediate Station: BD, Intermediate wait time: 9:30, Intermediate Departure time: 18:45, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 18 hours 5 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 09:40, Intemediate Station: CND, Intermediate wait time: 7:31, Intermediate Departure time: 17:11, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 16 hours 6 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 09:54, Intemediate Station: DMN, Intermediate wait time: 7:0, Intermediate Departure time: 16:54, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 15 hours 35 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 10:10, Intemediate Station: PLO, Intermediate wait time: 6:26, Intermediate Departure time: 16:36, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 15 hours 1 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 10:42, Intemediate Station: WR, Intermediate wait time: 5:27, Intermediate Departure time: 16:09, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 14 hours 2 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 12:35, Intemediate Station: NGP, Intermediate wait time: 2:25, Intermediate Departure time: 15:00, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 1 days 11 hours 0 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 17:35, Intemediate Station: BTW, Intermediate wait time: 3:29, Intermediate Departure time: 21:04, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 0 days 15 hours 49 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 18:15, Intemediate Station: UMD, Intermediate wait time: 3:31, Intermediate Departure time: 21:46, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 0 days 15 hours 51 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 19:50, Intemediate Station: LUR, Intermediate wait time: 3:20, Intermediate Departure time: 23:10, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 0 days 15 hours 40 mins
