'01402',NGP SUR T F SPL,1,NGP ,NAGPUR         ,'00:00:00','15:00:00'
'01402',NGP SUR T F SPL,2,WR  ,WARDHA JN      ,'16:06:00','16:09:00'
'01402',NGP SUR T F SPL,3,PLO ,PULGAON JN     ,'16:35:00','16:36:00'
'01402',NGP SUR T F SPL,4,DMN ,DHAMANGAON     ,'16:53:00','16:54:00'
'01402',NGP SUR T F SPL,5,CND ,CHANDUR        ,'17:10:00','17:11:00'
'01402',NGP SUR T F SPL,6,BD  ,BADNERA JN     ,'18:40:00','18:45:00'
'01402',NGP SUR T F SPL,7,MZR ,MURTAJAPUR     ,'19:20:00','19:22:00'
'01402',NGP SUR T F SPL,8,AK  ,AKOLA JN       ,'20:25:00','20:45:00'
'01402',NGP SUR T F SPL,9,WHM ,WASHIM         ,'21:52:00','21:53:00'
'01402',NGP SUR T F SPL,10,HNL ,HINGOLI DECCAN ,'22:34:00','22:35:00'
'01402',NGP SUR T F SPL,11,PAU ,PURNA JN       ,'00:20:00','00:47:00'
'01402',NGP SUR T F SPL,12,PBN ,PARBHANI JN    ,'01:25:00','01:43:00'
'01402',NGP SUR T F SPL,13,PRLI,PARLI VAIJNATH ,'03:10:00','03:30:00'
'01402',NGP SUR T F SPL,14,LTRR,LATUR ROAD     ,'05:10:00','05:35:00'
'01402',NGP SUR T F SPL,15,LUR ,LATUR          ,'06:20:00','06:30:00'
'01402',NGP SUR T F SPL,16,UMD ,USMANABAD      ,'07:50:00','07:55:00'
'01402',NGP SUR T F SPL,17,BTW ,BARSI TOWN     ,'08:28:00','08:30:00'
'01402',NGP SUR T F SPL,18,KWV ,KURDUVADI      ,'09:40:00','09:55:00'
'01402',NGP SUR T F SPL,19,MA  ,MADHA          ,'10:10:00','10:11:00'
'01402',NGP SUR T F SPL,20,MO  ,MOHOL          ,'10:35:00','10:36:00'
'01402',NGP SUR T F SPL,21,SUR ,SOLAPUR JN     ,'11:35:00','00:00:00'
'01419',PAU TTKL FARE S,1,KOP ,C SHAHUMHARAJ T,'00:00:00','15:45:00'
'01419',PAU TTKL FARE S,2,RKD ,RUKADI         ,'15:55:00','15:56:00'
'01419',PAU TTKL FARE S,3,HTK ,HATKANAGALE    ,'16:06:00','16:07:00'
'01419',PAU TTKL FARE S,4,MRJ ,MIRAJ JN       ,'16:50:00','17:05:00'
'01419',PAU TTKL FARE S,5,KVK ,KAVATHE MAHANKL,'17:55:00','17:56:00'
'01419',PAU TTKL FARE S,6,DLGN,DHALGAON       ,'18:10:00','18:11:00'
'01419',PAU TTKL FARE S,7,SGLA,SANGOLA        ,'18:43:00','18:45:00'
'01419',PAU TTKL FARE S,8,PVR ,PANDHARPUR     ,'19:10:00','19:15:00'
'01419',PAU TTKL FARE S,9,MLB ,MODNIMB        ,'19:46:00','19:47:00'
'01419',PAU TTKL FARE S,10,KWV ,KURDUVADI      ,'20:15:00','20:25:00'
'01419',PAU TTKL FARE S,11,BTW ,BARSI TOWN     ,'21:02:00','21:04:00'
'01419',PAU TTKL FARE S,12,UMD ,USMANABAD      ,'21:43:00','21:46:00'
'01419',PAU TTKL FARE S,13,LUR ,LATUR          ,'23:05:00','23:10:00'
'01419',PAU TTKL FARE S,14,LTRR,LATUR ROAD     ,'00:50:00','01:15:00'
'01419',PAU TTKL FARE S,15,PNF ,PANGAON        ,'01:50:00','01:52:00'
'01419',PAU TTKL FARE S,16,PRLI,PARLI VAIJNATH ,'03:40:00','04:10:00'
'01419',PAU TTKL FARE S,17,GNH ,GANGAKHER      ,'04:24:00','04:26:00'
'01419',PAU TTKL FARE S,18,PBN ,PARBHANI JN    ,'05:10:00','05:15:00'
'01419',PAU TTKL FARE S,19,PAU ,PURNA JN       ,'06:15:00','00:00:00'
'01420',PAU KOP SPL    ,1,PAU ,PURNA JN       ,'00:00:00','09:20:00'
'01420',PAU KOP SPL    ,2,PBN ,PARBHANI JN    ,'09:56:00','10:00:00'
'01420',PAU KOP SPL    ,3,GNH ,GANGAKHER      ,'10:34:00','10:36:00'
'01420',PAU KOP SPL    ,4,PRLI,PARLI VAIJNATH ,'11:10:00','11:30:00'
'01420',PAU KOP SPL    ,5,PNF ,PANGAON        ,'12:25:00','12:27:00'
'01420',PAU KOP SPL    ,6,LTRR,LATUR ROAD     ,'13:35:00','14:00:00'
'01420',PAU KOP SPL    ,7,LUR ,LATUR          ,'14:32:00','14:37:00'
'01420',PAU KOP SPL    ,8,UMD ,USMANABAD      ,'15:56:00','15:59:00'
'01420',PAU KOP SPL    ,9,BTW ,BARSI TOWN     ,'16:38:00','16:40:00'
'01420',PAU KOP SPL    ,10,KWV ,KURDUVADI      ,'17:35:00','17:45:00'
'01420',PAU KOP SPL    ,11,MLB ,MODNIMB        ,'18:08:00','18:09:00'
'01420',PAU KOP SPL    ,12,PVR ,PANDHARPUR     ,'18:40:00','18:45:00'
'01420',PAU KOP SPL    ,13,SGLA,SANGOLA        ,'19:11:00','19:13:00'
'01420',PAU KOP SPL    ,14,DLGN,DHALGAON       ,'19:49:00','19:50:00'
'01420',PAU KOP SPL    ,15,KVK ,KAVATHE MAHANKL,'20:05:00','20:06:00'
'01420',PAU KOP SPL    ,16,MRJ ,MIRAJ JN       ,'22:20:00','22:45:00'
'01420',PAU KOP SPL    ,17,HTK ,HATKANAGALE    ,'23:17:00','23:18:00'
'01420',PAU KOP SPL    ,18,RKD ,RUKADI         ,'23:25:00','23:26:00'
'01420',PAU KOP SPL    ,19,KOP ,C SHAHUMHARAJ T,'00:35:00','00:00:00'
'01427',PVR TTKL FAREPA,1,MRJ ,MIRAJ JN       ,'00:00:00','14:40:00'
'01427',PVR TTKL FAREPA,2,ARAG,ARAG           ,'15:01:00','15:02:00'
'01427',PVR TTKL FAREPA,3,SGRE,SULGARE        ,'15:18:00','15:19:00'
'01427',PVR TTKL FAREPA,4,KVK ,KAVATHE MAHANKL,'15:28:00','15:29:00'
'01427',PVR TTKL FAREPA,5,DLGN,DHALGAON       ,'15:40:00','15:42:00'
'01427',PVR TTKL FAREPA,6,JTRD,JATH ROAD      ,'15:53:00','15:54:00'
'01427',PVR TTKL FAREPA,7,SGLA,SANGOLA        ,'16:12:00','16:14:00'
'01427',PVR TTKL FAREPA,8,PVR ,PANDHARPUR     ,'17:25:00','00:00:00'
'01428',MRJ TKL FARE PA,1,PVR ,PANDHARPUR     ,'00:00:00','10:10:00'
'01428',MRJ TKL FARE PA,2,SGLA,SANGOLA        ,'10:36:00','10:38:00'
'01428',MRJ TKL FARE PA,3,JTRD,JATH ROAD      ,'11:00:00','11:01:00'
'01428',MRJ TKL FARE PA,4,DLGN,DHALGAON       ,'11:14:00','11:16:00'
'01428',MRJ TKL FARE PA,5,KVK ,KAVATHE MAHANKL,'11:28:00','11:30:00'
'01428',MRJ TKL FARE PA,6,SGRE,SULGARE        ,'11:38:00','11:40:00'
'01428',MRJ TKL FARE PA,7,ARAG,ARAG           ,'11:53:00','11:55:00'
'01428',MRJ TKL FARE PA,8,MRJ ,MIRAJ JN       ,'13:30:00','00:00:00'
'01655',PUNE JBP SUP SP,1,PUNE,PUNE JN        ,'00:00:00','10:45:00'
'01655',PUNE JBP SUP SP,2,DD  ,DAUND JN       ,'12:05:00','12:15:00'
'01655',PUNE JBP SUP SP,3,ANG ,AHMADNAGAR     ,'13:58:00','14:00:00'
'01655',PUNE JBP SUP SP,4,KPG ,KOPARGAON      ,'15:58:00','16:00:00'
'01655',PUNE JBP SUP SP,5,MMR ,MANMAD JN      ,'17:20:00','17:25:00'
'01655',PUNE JBP SUP SP,6,BSL ,BHUSAVAL JN    ,'20:10:00','20:20:00'
'01655',PUNE JBP SUP SP,7,KNW ,KHANDWA        ,'23:40:00','23:45:00'
'01655',PUNE JBP SUP SP,8,HD  ,HARDA          ,'00:55:00','00:57:00'
'01655',PUNE JBP SUP SP,9,ET  ,ITARSI JN      ,'02:20:00','02:30:00'
'01655',PUNE JBP SUP SP,10,PPI ,PIPARIYA       ,'03:18:00','03:20:00'
'01655',PUNE JBP SUP SP,11,NU  ,NARSINGHPUR    ,'04:38:00','04:40:00'
'01655',PUNE JBP SUP SP,12,MML ,MADAN MAHAL    ,'06:07:00','06:09:00'
'01655',PUNE JBP SUP SP,13,JBP ,JABALPUR       ,'06:15:00','00:00:00'
'01656',JBP PUNE SPECIA,1,JBP ,JABALPUR       ,'00:00:00','09:00:00'
'01656',JBP PUNE SPECIA,2,MML ,MADAN MAHAL    ,'09:06:00','09:08:00'
'01656',JBP PUNE SPECIA,3,NU  ,NARSINGHPUR    ,'10:13:00','10:15:00'
'01656',JBP PUNE SPECIA,4,PPI ,PIPARIYA       ,'11:23:00','11:25:00'
'01656',JBP PUNE SPECIA,5,ET  ,ITARSI JN      ,'12:45:00','12:55:00'
'01656',JBP PUNE SPECIA,6,HD  ,HARDA          ,'13:45:00','13:47:00'
'01656',JBP PUNE SPECIA,7,KNW ,KHANDWA        ,'15:20:00','15:25:00'
'01656',JBP PUNE SPECIA,8,BSL ,BHUSAVAL JN    ,'16:50:00','17:00:00'
'01656',JBP PUNE SPECIA,9,MMR ,MANMAD JN      ,'19:45:00','19:50:00'
'01656',JBP PUNE SPECIA,10,KPG ,KOPARGAON      ,'20:53:00','20:55:00'
